,hammer,hanging_man,inverted_hammer,shooting_star,bullish_engulfing,bearish_engulfing,piercing_pattern,dark_cloud_cover,morning_star,evening_star,rising_three_methods,falling_three_methods,rsi_oversold,rsi_overbought,rsi_bearish_divergence,rsi_bullish_divergence,macd_bullish_cross,macd_bearish_cross
hammer,1.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.007246376811594203,0.006329113924050633,0.0,0.025510204081632654,0.0,0.00625,0.01694915254237288,0.002070393374741201,0.0,0.01984126984126984,0.0,0.019662921348314606
hanging_man,0.0,1.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.004273504273504274,0.0,0.006369426751592357,0.0,0.0,0.024640657084188913,0.016666666666666666,0.0,0.0026595744680851063,0.005319148936170213
inverted_hammer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.008064516129032258,0.014925373134328358,0.0,0.0,0.018433179723502304,0.0,0.006153846153846154
shooting_star,0.0,0.0,0.0,1.0,0.01639344262295082,0.0,0.0,0.007407407407407408,0.026041666666666668,0.0,0.0036101083032490976,0.0,0.0,0.004357298474945534,0.011182108626198083,0.0,0.008928571428571428,0.0029498525073746312
bullish_engulfing,0.0,0.01818181818181818,0.0,0.01639344262295082,1.0,0.0,0.0,0.0,0.09504132231404959,0.0,0.02064896755162242,0.0,0.0035211267605633804,0.007619047619047619,0.02635431918008785,0.0,0.030379746835443037,0.002457002457002457
bearish_engulfing,0.004901960784313725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06607929515418502,0.002932551319648094,0.025380710659898477,0.01079136690647482,0.0019083969465648854,0.0,0.034722222222222224,0.0,0.04392764857881137
piercing_pattern,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008791208791208791,0.011217948717948718,0.0,0.002976190476190476,0.002967359050445104
dark_cloud_cover,0.006329113924050633,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.010548523206751054,0.0,0.008,0.0028089887640449437,0.028735632183908046
morning_star,0.0,0.004273504273504274,0.0,0.026041666666666668,0.09504132231404959,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.015037593984962405,0.04093567251461988,0.0,0.047619047619047616,0.0
evening_star,0.025510204081632654,0.0,0.006097560975609756,0.0,0.0,0.06607929515418502,0.0,0.0,0.0,1.0,0.0,0.03664921465968586,0.007272727272727273,0.0,0.0,0.038869257950530034,0.0,0.04712041884816754
rising_three_methods,0.0,0.006369426751592357,0.0,0.0036101083032490976,0.02064896755162242,0.002932551319648094,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.09717314487632508,0.12322946175637393,0.0,0.03958333333333333,0.004016064257028112
falling_three_methods,0.00625,0.0,0.008064516129032258,0.0,0.0,0.025380710659898477,0.0,0.0,0.0,0.03664921465968586,0.0,1.0,0.025974025974025976,0.0,0.0,0.049586776859504134,0.0,0.019830028328611898
rsi_oversold,0.01694915254237288,0.0,0.014925373134328358,0.0,0.0035211267605633804,0.01079136690647482,0.0,0.004273504273504274,0.0,0.007272727272727273,0.0,0.025974025974025976,1.0,0.0,0.0,0.07766990291262135,0.0045871559633027525,0.009195402298850575
rsi_overbought,0.002070393374741201,0.024640657084188913,0.0,0.004357298474945534,0.007619047619047619,0.0019083969465648854,0.008791208791208791,0.010548523206751054,0.015037593984962405,0.0,0.09717314487632508,0.0,0.0,1.0,0.14419695193434937,0.0,0.030211480362537766,0.004411764705882353
rsi_bearish_divergence,0.0,0.016666666666666666,0.0,0.011182108626198083,0.02635431918008785,0.0,0.011217948717948718,0.0,0.04093567251461988,0.0,0.12322946175637393,0.0,0.0,0.14419695193434937,1.0,0.0,0.11780104712041885,0.0023446658851113715
rsi_bullish_divergence,0.01984126984126984,0.0,0.018433179723502304,0.0,0.0,0.034722222222222224,0.0,0.008,0.0,0.038869257950530034,0.0,0.049586776859504134,0.07766990291262135,0.0,0.0,1.0,0.0,0.029345372460496615
macd_bullish_cross,0.0,0.0026595744680851063,0.0,0.008928571428571428,0.030379746835443037,0.0,0.002976190476190476,0.0028089887640449437,0.047619047619047616,0.0,0.03958333333333333,0.0,0.0045871559633027525,0.030211480362537766,0.11780104712041885,0.0,1.0,0.0
macd_bearish_cross,0.019662921348314606,0.005319148936170213,0.006153846153846154,0.0029498525073746312,0.002457002457002457,0.04392764857881137,0.002967359050445104,0.028735632183908046,0.0,0.04712041884816754,0.004016064257028112,0.019830028328611898,0.009195402298850575,0.004411764705882353,0.0023446658851113715,0.029345372460496615,0.0,1.0
